[isEqualDirectSuperior] fanwei Employee not exist in yid,"isEqualDirectSuperior failed, err=fanweiEmployee not exist in yid",not find dictionary type=<:NUM:>,the employee does not exist,AuthSessionVali<:updateFanweiEmployee failed:>,"[securitySessionCheck] GetSecuritySessionFromReq failed, err=securecookie: expired timestamp [trace.id=<:SEQ:> <:transactionID:> <:spanID:>",[securitySessionCheck] CreatAndSaveSessio<:updateFanweiEmployee failed:>,[GetWeChatUserInfo] GetWeChatUserInf<:updateFanweiEmployee failed:>,[getOtpKey] GetWeChatUserInf<:updateFanweiEmployee failed:>,"[SimplePost] failed, <:ERRORPost:>",[UpdateEmployee] <:*:> failed:>,no employee,"[updateFanweiEmployee] failed, <:updateEmployeeData:>",timestamp,unknown
0,0,23,27,2,1,1,1,1,0,0,1,0,2023-12-01 12:29:21,1
0,0,230,108,2,1,1,1,1,1,0,1,0,2023-12-01 12:31:21,30
0,0,92,66,0,0,0,0,0,0,0,0,0,2023-12-01 12:33:21,0
0,0,46,107,0,0,0,0,0,0,0,1,0,2023-12-01 12:35:21,0
751,751,115,105,0,0,0,0,0,1,1,0,1,2023-12-01 12:37:21,0
0,0,69,25,0,0,0,0,0,0,0,1,0,2023-12-01 12:39:21,0
0,0,207,109,1,0,0,0,0,1,0,1,0,2023-12-01 12:41:21,30
0,0,69,128,3,2,2,3,3,0,0,0,0,2023-12-01 12:43:21,0
0,0,92,108,0,0,0,0,0,0,0,0,0,2023-12-01 12:45:21,0
751,751,92,64,0,0,0,0,0,1,1,1,1,2023-12-01 12:47:21,1
0,0,46,1,2,0,0,0,0,0,0,1,0,2023-12-01 12:49:21,0
0,0,184,109,0,0,0,0,0,0,0,1,0,2023-12-01 12:51:21,26
751,751,115,128,1,0,0,0,0,1,1,0,1,2023-12-01 12:53:21,0
0,0,69,107,0,1,1,1,1,0,0,0,0,2023-12-01 12:55:21,0
0,0,138,97,0,0,0,0,0,1,0,1,0,2023-12-01 12:57:21,4
0,0,23,32,0,0,0,0,0,0,0,1,0,2023-12-01 12:59:21,0
751,751,276,108,0,0,0,0,0,1,1,1,1,2023-12-01 13:01:21,26
0,0,69,128,0,0,0,0,0,0,0,0,0,2023-12-01 13:03:21,0
0,0,46,108,3,2,2,4,4,0,0,1,0,2023-12-01 13:05:21,0
0,0,138,106,1,1,1,0,0,1,0,0,0,2023-12-01 13:07:21,4
0,0,46,25,0,0,0,0,0,0,0,1,0,2023-12-01 13:09:21,2
751,751,207,109,0,0,0,0,0,1,1,1,1,2023-12-01 13:11:21,26
0,0,69,128,0,0,0,0,0,0,0,0,0,2023-12-01 13:13:21,0
0,0,92,109,1,1,1,0,0,0,0,0,0,2023-12-01 13:15:21,0
751,751,92,103,0,0,0,0,0,1,1,1,1,2023-12-01 13:17:21,0
0,0,46,28,5,2,2,1,1,0,0,1,0,2023-12-01 13:19:21,0
0,0,230,114,0,0,0,0,0,0,0,1,0,2023-12-01 13:21:21,26
0,0,69,127,0,0,0,0,0,1,0,0,0,2023-12-01 13:23:21,4
0,0,46,107,0,0,0,0,0,0,0,0,0,2023-12-01 13:25:21,0
751,751,161,64,2,2,2,0,0,1,1,1,1,2023-12-01 13:27:21,0
0,0,23,2,6,3,3,5,5,0,0,0,0,2023-12-01 13:29:21,1
751,751,253,109,1,0,0,0,0,1,1,2,1,2023-12-01 13:31:21,26
0,0,46,127,4,1,1,0,0,0,0,0,0,2023-12-01 13:33:21,0
751,751,115,108,0,0,0,2,2,0,0,0,0,2023-12-01 13:35:21,0
0,0,69,35,3,1,1,2,2,1,1,1,1,2023-12-01 13:37:21,0
0,0,46,31,4,5,5,4,4,0,0,0,0,2023-12-01 13:39:21,4
0,0,230,111,4,1,1,3,3,0,0,2,0,2023-12-01 13:41:21,46
751,751,69,127,1,3,3,4,4,1,1,0,1,2023-12-01 13:43:21,2
0,0,92,107,2,2,2,3,3,0,0,0,0,2023-12-01 13:45:21,3
751,751,115,102,3,1,1,1,1,1,1,1,1,2023-12-01 13:47:21,0
0,0,46,27,1,1,1,2,2,0,0,0,0,2023-12-01 13:49:21,0
751,751,230,111,2,0,0,0,0,1,1,2,1,2023-12-01 13:51:21,26
0,0,46,127,4,4,4,2,2,0,0,0,0,2023-12-01 13:53:21,4
0,0,92,108,0,1,1,2,2,0,0,0,0,2023-12-01 13:55:21,4
0,0,92,100,3,1,1,2,2,1,0,1,0,2023-12-01 13:57:21,4
0,0,69,28,2,1,1,3,3,0,0,0,0,2023-12-01 13:59:21,0
0,0,207,110,5,3,3,3,3,0,0,2,0,2023-12-01 14:01:21,1
751,751,115,128,1,0,0,0,0,1,1,0,1,2023-12-01 14:03:21,26
0,0,46,108,7,4,4,4,4,0,0,0,0,2023-12-01 14:05:21,292
751,751,115,103,9,5,5,5,5,1,1,1,1,2023-12-01 14:07:21,0
0,0,69,29,3,1,1,2,2,0,0,0,0,2023-12-01 14:09:21,0
0,0,207,109,9,2,2,1,1,1,0,2,0,2023-12-01 14:11:21,30
0,0,92,128,3,1,1,3,3,0,0,0,0,2023-12-01 14:13:21,1
0,0,46,111,4,2,2,3,3,0,0,0,0,2023-12-01 14:15:21,0
751,751,138,104,0,1,1,0,0,1,1,1,1,2023-12-01 14:17:21,0
0,0,46,26,4,3,3,3,3,0,0,0,0,2023-12-01 14:19:21,0
751,751,207,108,3,2,2,3,3,1,1,2,1,2023-12-01 14:21:21,9
0,0,92,129,3,2,2,3,3,0,0,0,0,2023-12-01 14:23:21,30
0,0,46,108,4,2,2,5,5,0,0,1,0,2023-12-01 14:25:21,4
0,0,138,100,1,0,0,1,1,1,0,0,0,2023-12-01 14:27:21,4
0,0,46,32,4,2,2,2,2,0,0,0,0,2023-12-01 14:29:21,6
751,751,184,110,4,1,1,3,3,1,1,1,1,2023-12-01 14:31:21,27
0,0,115,132,3,1,1,1,1,0,0,1,0,2023-12-01 14:33:21,0
0,0,46,109,8,2,2,2,2,0,0,0,0,2023-12-01 14:35:21,1
751,751,138,69,1,2,2,1,1,1,1,1,1,2023-12-01 14:37:21,2
0,0,46,2,2,0,0,1,1,0,0,0,0,2023-12-01 14:39:21,1
0,0,184,110,3,1,1,0,0,0,0,2,0,2023-12-01 14:41:21,1
751,751,115,128,6,0,0,0,0,1,1,0,1,2023-12-01 14:43:21,31
0,0,69,107,2,3,3,4,4,0,0,0,0,2023-12-01 14:45:21,2
751,751,115,99,2,1,1,1,1,1,1,1,1,2023-12-01 14:47:21,8
0,0,46,30,4,2,2,3,3,0,0,0,0,2023-12-01 14:49:21,0
751,751,207,109,4,3,3,2,2,1,1,2,1,2023-12-01 14:51:21,26
0,0,69,127,3,3,3,3,3,0,0,0,0,2023-12-01 14:53:21,0
0,0,92,109,2,0,0,0,0,0,0,0,0,2023-12-01 14:55:21,0
751,751,92,101,4,2,2,5,5,1,1,1,1,2023-12-01 14:57:21,0
0,0,69,27,3,4,4,4,4,0,0,0,0,2023-12-01 14:59:21,0
0,0,207,109,1,0,0,0,0,0,0,2,0,2023-12-01 15:01:21,901
751,751,115,128,0,0,0,0,0,1,1,0,1,2023-12-01 15:03:21,27
0,0,69,107,9,3,3,2,2,0,0,0,0,2023-12-01 15:05:21,0
751,751,92,92,13,1,1,5,5,1,1,1,1,2023-12-01 15:07:21,0
0,0,69,40,0,1,1,0,0,0,0,0,0,2023-12-01 15:09:21,0
751,751,207,110,2,1,1,2,2,1,1,2,1,2023-12-01 15:11:21,30
0,0,69,127,4,1,1,1,1,0,0,0,0,2023-12-01 15:13:21,1
751,751,115,108,3,1,1,2,2,0,0,0,0,2023-12-01 15:15:21,0
0,0,69,102,2,0,0,0,0,1,1,1,1,2023-12-01 15:17:21,0
0,0,46,26,0,0,0,0,0,0,0,0,0,2023-12-01 15:19:21,1
0,0,207,135,0,0,0,0,0,0,0,1,0,2023-12-01 15:21:21,26
751,751,92,127,2,0,0,0,0,1,1,1,1,2023-12-01 15:23:21,0
0,0,46,108,1,1,1,1,1,0,0,0,0,2023-12-01 15:25:21,0
751,751,161,99,0,0,0,0,0,1,1,1,1,2023-12-01 15:27:21,0
0,0,23,32,4,0,0,3,3,0,0,0,0,2023-12-01 15:29:21,3
751,751,207,109,1,1,1,1,1,1,1,2,1,2023-12-01 15:31:21,0
0,0,115,66,0,0,0,0,0,0,0,0,0,2023-12-01 15:33:21,26
0,0,23,107,6,3,3,3,3,0,0,0,0,2023-12-01 15:35:21,0
751,751,138,104,5,2,2,2,2,1,1,1,1,2023-12-01 15:37:21,0
0,0,69,26,1,1,1,0,0,0,0,0,0,2023-12-01 15:39:21,3
751,751,207,111,1,0,0,0,0,1,1,2,1,2023-12-01 15:41:21,26
0,0,69,127,2,1,1,0,0,0,0,0,0,2023-12-01 15:43:21,0
0,0,115,108,0,1,1,0,0,0,0,0,0,2023-12-01 15:45:21,0
0,0,92,103,6,2,2,2,2,1,0,1,0,2023-12-01 15:47:21,4
0,0,23,25,6,2,2,3,3,0,0,0,0,2023-12-01 15:49:21,3
751,751,207,110,4,2,2,6,6,0,0,1,0,2023-12-01 15:51:21,28
0,0,115,127,1,1,1,3,3,1,1,1,1,2023-12-01 15:53:21,0
0,0,23,107,0,0,0,0,0,0,0,0,0,2023-12-01 15:55:21,1
751,751,161,99,3,2,2,1,1,1,1,1,1,2023-12-01 15:57:21,6
0,0,46,30,1,2,2,2,2,0,0,0,0,2023-12-01 15:59:21,0
751,751,276,109,3,1,1,2,2,1,1,2,1,2023-12-01 16:01:21,1885
0,0,92,65,3,2,2,0,0,0,0,0,0,2023-12-01 16:03:21,26
0,0,23,107,5,0,0,0,0,0,0,0,0,2023-12-01 16:05:21,0
751,751,138,102,1,2,2,4,4,1,1,1,1,2023-12-01 16:07:21,3
0,0,69,31,2,0,0,1,1,0,0,0,0,2023-12-01 16:09:21,0
751,751,207,109,1,1,1,1,1,1,1,2,1,2023-12-01 16:11:21,29
0,0,69,129,0,1,1,2,2,0,0,0,0,2023-12-01 16:13:21,3
0,0,92,108,1,0,0,0,0,0,0,0,0,2023-12-01 16:15:21,0
0,0,92,102,0,1,1,2,2,1,0,1,0,2023-12-01 16:17:21,4
0,0,46,26,3,1,1,3,3,0,0,0,0,2023-12-01 16:19:21,3
0,0,230,109,2,1,1,1,1,0,0,2,0,2023-12-01 16:21:21,26
751,751,69,65,9,1,1,1,1,1,1,0,1,2023-12-01 16:23:21,0
0,0,46,107,0,0,0,0,0,0,0,0,0,2023-12-01 16:25:21,0
751,751,161,97,1,1,1,1,1,1,1,1,1,2023-12-01 16:27:21,0
0,0,23,34,5,0,0,0,0,0,0,0,0,2023-12-01 16:29:21,0
751,751,230,108,1,0,0,0,0,1,1,2,1,2023-12-01 16:31:21,30
0,0,92,129,0,0,0,0,0,0,0,0,0,2023-12-01 16:33:21,0
0,0,46,107,8,3,3,3,3,0,0,1,0,2023-12-01 16:35:21,0
751,751,115,99,1,1,1,1,1,1,1,0,1,2023-12-01 16:37:21,0
0,0,69,31,5,1,1,2,2,0,0,0,0,2023-12-01 16:39:21,0
0,0,207,109,5,1,1,2,2,1,0,2,0,2023-12-01 16:41:21,31
0,0,69,65,5,7,7,4,4,0,0,0,0,2023-12-01 16:43:21,12
215,214,115,110,1,1,1,0,0,0,0,0,0,2023-12-01 16:45:21,2
536,537,69,106,2,2,2,2,2,1,1,1,1,2023-12-01 16:47:21,2
0,0,46,25,3,1,1,1,1,0,0,0,0,2023-12-01 16:49:21,4
0,0,230,114,2,1,1,2,2,0,0,2,0,2023-12-01 16:51:21,32
751,751,69,128,0,0,0,0,0,1,1,0,1,2023-12-01 16:53:21,0
0,0,46,107,1,1,1,1,1,0,0,0,0,2023-12-01 16:55:21,0
751,751,161,101,0,1,1,2,2,1,1,1,1,2023-12-01 16:57:21,0
0,0,23,30,2,1,1,2,2,0,0,0,0,2023-12-01 16:59:21,0
751,751,253,113,3,2,2,2,2,1,1,2,1,2023-12-01 17:01:21,39
0,0,92,131,6,4,4,4,4,0,0,1,0,2023-12-01 17:03:21,8
0,0,46,108,2,0,0,2,2,0,0,2,0,2023-12-01 17:05:21,2
751,751,115,65,8,1,1,2,2,1,1,0,1,2023-12-01 17:07:21,0
0,0,69,2,0,0,0,0,0,0,0,0,0,2023-12-01 17:09:21,0
751,751,207,110,0,0,0,0,0,1,1,2,1,2023-12-01 17:11:21,28
0,0,69,128,0,0,0,0,0,0,0,0,0,2023-12-01 17:13:21,0
0,0,92,108,0,0,0,0,0,0,0,0,0,2023-12-01 17:15:21,0
751,751,92,104,3,1,1,3,3,1,1,1,1,2023-12-01 17:17:21,0
0,0,46,27,3,1,1,1,1,0,0,0,0,2023-12-01 17:19:21,0
0,0,230,112,0,0,0,0,0,0,0,2,0,2023-12-01 17:21:21,26
0,0,69,127,2,1,1,0,0,1,0,0,0,2023-12-01 17:23:21,4
0,0,46,110,1,1,1,2,2,0,0,0,0,2023-12-01 17:25:21,0
751,751,161,97,5,1,1,3,3,1,1,1,1,2023-12-01 17:27:21,0
0,0,23,33,2,1,1,0,0,0,0,0,0,2023-12-01 17:29:21,0
751,751,230,109,11,3,3,2,2,1,1,2,1,2023-12-01 17:31:21,29
0,0,92,66,4,1,1,2,2,0,0,0,0,2023-12-01 17:33:21,1
0,0,46,110,3,2,2,2,2,0,0,1,0,2023-12-01 17:35:21,0
751,751,115,100,5,0,0,0,0,1,1,0,1,2023-12-01 17:37:21,0
0,0,69,29,2,1,1,0,0,0,0,0,0,2023-12-01 17:39:21,5
751,751,207,111,0,1,1,1,1,1,1,2,1,2023-12-01 17:41:21,26
0,0,69,128,0,0,0,0,0,0,0,0,0,2023-12-01 17:43:21,3
0,0,92,109,1,1,1,1,1,0,0,0,0,2023-12-01 17:45:21,15
751,751,92,31,0,0,0,2,2,1,1,1,1,2023-12-01 17:47:21,0
0,0,46,36,1,0,0,0,0,0,0,0,0,2023-12-01 17:49:21,15
0,0,230,111,4,1,1,2,2,0,0,2,0,2023-12-01 17:51:21,34
751,751,69,127,0,0,0,0,0,1,1,0,1,2023-12-01 17:53:21,6
0,0,46,110,1,1,1,1,1,0,0,0,0,2023-12-01 17:55:21,2
0,0,161,102,1,1,1,0,0,1,0,1,0,2023-12-01 17:57:21,4
0,0,23,27,1,0,0,0,0,0,0,0,0,2023-12-01 17:59:21,3
751,751,253,109,1,0,0,0,0,1,1,2,1,2023-12-01 18:01:21,922
0,0,92,129,0,0,0,0,0,0,0,0,0,2023-12-01 18:03:21,2
0,0,46,108,1,0,0,0,0,0,0,0,0,2023-12-01 18:05:21,3
751,751,115,97,5,3,3,3,3,1,1,1,1,2023-12-01 18:07:21,4
0,0,69,33,1,3,3,2,2,0,0,0,0,2023-12-01 18:09:21,6
751,751,207,111,2,2,2,0,0,1,1,2,1,2023-12-01 18:11:21,26
0,0,69,128,2,0,0,0,0,0,0,0,0,2023-12-01 18:13:21,0
650,650,115,109,4,1,1,4,4,0,0,0,0,2023-12-01 18:15:21,4
101,101,69,372,1,0,0,0,0,1,1,1,1,2023-12-01 18:17:21,1
0,0,46,26,0,0,0,0,0,0,0,0,0,2023-12-01 18:19:21,0
0,0,230,111,4,2,2,1,1,0,0,2,0,2023-12-01 18:21:21,26
0,0,69,129,3,1,1,1,1,1,0,0,0,2023-12-01 18:23:21,4
0,0,46,108,3,1,1,4,4,0,0,0,0,2023-12-01 18:25:21,0
751,751,161,99,2,2,2,0,0,1,1,1,1,2023-12-01 18:27:21,8
0,0,23,31,1,1,1,2,2,0,0,0,0,2023-12-01 18:29:21,0
0,0,230,109,0,0,0,0,0,0,0,1,0,2023-12-01 18:31:21,0
0,0,92,129,0,0,0,2,2,0,0,1,0,2023-12-01 18:33:21,0
0,0,46,108,5,2,2,3,3,0,0,1,0,2023-12-01 18:35:21,6
0,0,115,103,4,2,2,1,1,0,0,0,0,2023-12-01 18:37:21,5
0,0,69,27,1,2,2,3,3,0,0,0,0,2023-12-01 18:39:21,0
0,0,207,110,5,2,2,1,1,0,0,1,0,2023-12-01 18:41:21,0
0,0,69,128,4,4,4,0,0,0,0,1,0,2023-12-01 18:43:21,1
0,0,92,109,3,0,0,0,0,0,0,0,0,2023-12-01 18:45:21,4
0,0,92,92,0,0,0,0,0,0,0,1,0,2023-12-01 18:47:21,0
0,0,46,36,0,0,0,0,0,0,0,0,0,2023-12-01 18:49:21,0
0,0,230,111,0,0,0,0,0,0,0,1,0,2023-12-01 18:51:21,0
0,0,69,127,0,0,0,0,0,0,0,1,0,2023-12-01 18:53:21,0
0,0,46,108,0,0,0,0,0,0,0,0,0,2023-12-01 18:55:21,0
0,0,161,41,0,0,0,0,0,0,0,1,0,2023-12-01 18:57:21,0
0,0,23,25,3,2,2,2,2,0,0,0,0,2023-12-01 18:59:21,2
0,0,253,109,2,1,1,1,1,0,0,1,0,2023-12-01 19:01:21,4
0,0,92,129,0,1,1,2,2,0,0,1,0,2023-12-01 19:03:21,0
0,0,46,108,1,0,0,0,0,0,0,0,0,2023-12-01 19:05:21,0
0,0,115,97,0,0,0,0,0,0,0,1,0,2023-12-01 19:07:21,1
0,0,69,33,1,1,1,1,1,0,0,0,0,2023-12-01 19:09:21,3
0,0,207,111,1,1,1,0,0,0,0,1,0,2023-12-01 19:11:21,5
0,0,69,65,0,0,0,0,0,0,0,1,0,2023-12-01 19:13:21,3
0,0,115,109,1,0,0,2,2,0,0,0,0,2023-12-01 19:15:21,3
0,0,69,64,1,1,1,2,2,0,0,1,0,2023-12-01 19:17:21,4
0,0,46,1,0,0,0,0,0,0,0,0,0,2023-12-01 19:19:21,7
0,0,253,111,0,0,0,0,0,0,0,0,0,2023-12-01 19:21:21,2
0,0,46,127,1,0,0,0,0,0,0,3,0,2023-12-01 19:23:21,0
0,0,46,108,0,0,0,0,0,0,0,1,0,2023-12-01 19:25:21,0
0,0,161,100,0,0,0,2,2,0,0,1,0,2023-12-01 19:27:21,22
0,0,23,29,1,1,1,0,0,0,0,0,0,2023-12-01 19:29:21,0
0,0,230,109,0,0,0,0,0,1,0,1,0,2023-12-01 19:31:21,27
0,0,92,129,0,0,0,0,0,0,0,1,0,2023-12-01 19:33:21,26
0,0,23,108,0,0,0,0,0,0,0,0,0,2023-12-01 19:35:21,0
751,751,138,101,0,0,0,0,0,2,2,1,2,2023-12-01 19:37:21,22
0,0,69,29,0,0,0,0,0,0,0,0,0,2023-12-01 19:39:21,0
0,0,207,111,0,0,0,0,0,1,0,1,0,2023-12-01 19:41:21,30
0,0,69,127,1,1,1,1,1,0,0,1,0,2023-12-01 19:43:21,23
751,751,115,109,1,0,0,0,0,0,0,0,0,2023-12-01 19:45:21,0
0,0,69,98,0,0,0,0,0,1,1,1,1,2023-12-01 19:47:21,0
0,0,46,30,0,0,0,0,0,0,0,0,0,2023-12-01 19:49:21,0
0,0,207,111,0,0,0,0,0,0,0,0,0,2023-12-01 19:51:21,42
0,0,92,127,0,0,0,0,0,1,0,2,0,2023-12-01 19:53:21,10
0,0,69,108,0,0,0,0,0,0,0,0,0,2023-12-01 19:55:21,0
751,751,138,95,0,0,0,0,0,1,1,1,1,2023-12-01 19:57:21,0
0,0,23,34,0,0,0,0,0,0,0,0,0,2023-12-01 19:59:21,0
0,0,230,109,0,0,0,0,0,1,0,1,0,2023-12-01 20:01:21,4
0,0,115,129,0,0,0,0,0,0,0,1,0,2023-12-01 20:03:21,26
0,0,23,108,0,0,0,0,0,0,0,0,0,2023-12-01 20:05:21,0
0,0,138,104,0,0,0,0,0,1,0,1,0,2023-12-01 20:07:21,4
0,0,69,26,1,1,1,1,1,0,0,0,0,2023-12-01 20:09:21,0
0,0,207,110,0,0,0,0,0,1,0,1,0,2023-12-01 20:11:21,36
0,0,69,128,0,0,0,0,0,0,0,1,0,2023-12-01 20:13:21,0
0,0,92,109,0,0,0,0,0,0,0,0,0,2023-12-01 20:15:21,0
751,751,92,97,0,0,0,0,0,1,1,1,1,2023-12-01 20:17:21,0
0,0,46,31,0,0,0,0,0,0,0,0,0,2023-12-01 20:19:21,0
0,0,230,111,1,0,0,0,0,0,0,0,0,2023-12-01 20:21:21,26
0,0,69,64,1,1,1,0,0,1,0,2,0,2023-12-01 20:23:21,4
0,0,46,108,0,0,0,0,0,0,0,0,0,2023-12-01 20:25:21,0
751,751,161,102,0,0,0,0,0,1,1,1,1,2023-12-01 20:27:21,0
