request,response,infra.grpc.handler,QueryCard,"verifyCard: match cardNo local, <:cardNo:> <:transactionID:> <:spanID:>","CardQuery <:*:> channel, <:cardNo:> <:transactionID:> <:spanID:>",call by <:*:> fn:QueryCard call cost:<:NUM:> <:traceID:> <:transactionID:> <:spanID:>,CardQuery <:*:> <:<:resp:>,"verifyCardLocal: s.dao.GetCard failed, err=sql: no rows in result set <:traceID:> <:transactionID:> <:spanID:>","verifyCard: match cardNo by channel, <:cardNo:> valid=<:STATUS:>, <:cardBin:>",verifyCard: <:cardNo:> Yrouter:<:STATUS:> <:traceID:> <:transactionID:> <:spanID:>,verifyCard: <:cardNo:> <:<:resp:>,need retry pre call <:*:> err:card is invalid <:traceID:> <:transactionID:> <:spanID:>,sendPostRequest huaDao <:<:resp:>,"s.MatchByNameAndNo failed, errCode=<:NUM:>, <:cardNo:> <:*:> <:traceID:> <:transactionID:> <:spanID:>",<:ChineseInfo:>，cardNo:<:SEQ:> <:resp:>,buildBinMap: get bins count=<:NUM:>,syncCardBin: get card bin <:MAP:>,huaDaoCardQuery <:*:> err:&{<:NUM:> <:ChineseInfo:>} <:traceID:> <:transactionID:> <:spanID:>,timestamp,unknown
3897,3897,2193,2379,1905,243,243,243,231,231,231,231,15,30,3,3,36,36,0,2023-08-31 23:00:41,0
3861,3861,1857,2025,1557,237,237,237,225,225,225,225,15,33,3,0,36,36,3,2023-08-31 23:02:41,0
3903,3903,108,30,12,9,9,9,9,9,9,9,0,0,0,0,36,36,0,2023-08-31 23:04:41,0
3870,3870,111,51,21,15,15,15,15,15,15,15,0,0,0,0,36,36,0,2023-08-31 23:06:41,0
3897,3897,315,936,30,714,711,711,171,171,171,168,678,138,159,111,36,36,18,2023-08-31 23:08:41,6
3801,3801,1542,2157,1197,681,681,681,252,252,252,252,537,123,135,78,36,36,30,2023-08-31 23:10:41,3
3894,3894,2430,2592,2079,255,258,258,255,255,255,258,0,24,0,0,36,36,0,2023-08-31 23:12:41,0
3882,3882,2118,2337,1824,255,255,255,255,255,255,255,0,18,0,0,36,36,0,2023-08-31 23:14:41,0
3918,3918,1824,1974,1509,237,237,237,225,225,225,225,15,30,3,0,36,36,3,2023-08-31 23:16:41,0
3792,3792,2031,2277,1743,273,273,273,261,261,261,261,15,57,3,0,36,36,3,2023-08-31 23:18:41,0
3891,3891,1893,2103,1572,267,267,267,264,264,264,264,3,33,0,3,36,36,0,2023-08-31 23:20:41,0
3870,3870,2220,2406,1878,276,276,276,252,252,252,252,30,27,6,0,36,36,6,2023-08-31 23:22:41,0
3897,3897,2100,2301,1818,240,240,240,240,240,240,240,0,24,0,0,36,36,0,2023-08-31 23:24:41,0
3888,3888,2121,2325,1797,264,264,264,264,264,264,264,0,30,0,0,36,36,0,2023-08-31 23:26:41,0
3792,3792,2358,2589,2055,267,267,267,267,267,267,267,0,42,0,0,36,36,0,2023-08-31 23:28:41,0
3897,3897,1989,2259,1659,312,312,312,288,288,288,288,30,27,6,0,36,36,6,2023-08-31 23:30:41,0
3864,3864,2178,2361,1812,273,273,273,273,273,273,273,0,45,0,0,36,36,0,2023-08-31 23:32:41,0
3891,3891,1899,2109,1644,231,231,231,231,231,231,231,0,30,0,0,36,36,0,2023-08-31 23:34:41,0
3888,3888,2079,2223,1815,204,204,204,204,204,204,204,0,39,0,0,36,36,0,2023-08-31 23:36:41,0
3888,3888,2478,2661,2226,219,216,216,219,219,219,216,0,51,0,0,36,36,0,2023-08-31 23:38:41,0
3822,3822,1881,2013,1629,198,201,201,183,183,183,186,18,30,3,3,36,36,3,2023-08-31 23:40:41,0
3903,3903,165,87,27,30,30,30,30,30,30,30,0,6,0,0,36,36,0,2023-08-31 23:42:41,0
3882,3882,54,30,24,3,3,3,3,3,3,3,0,0,0,0,36,36,0,2023-08-31 23:44:41,0
3891,3891,315,1032,27,798,792,792,177,177,177,171,774,156,186,129,36,36,21,2023-08-31 23:46:41,6
3885,3885,1419,1911,1113,552,555,555,225,225,225,228,411,105,102,57,36,36,24,2023-08-31 23:48:41,0
3882,3882,2706,2940,2427,267,270,270,243,243,243,246,30,27,6,0,36,36,6,2023-08-31 23:50:41,0
3771,3771,1749,1905,1500,210,210,210,195,195,195,195,18,9,3,3,36,36,3,2023-08-31 23:52:41,0
3903,3903,2298,2508,2052,228,228,228,228,228,228,228,0,39,0,0,36,36,0,2023-08-31 23:54:41,0
3888,3888,2145,2310,1887,210,210,210,210,210,210,210,0,33,0,0,36,36,0,2023-08-31 23:56:41,0
3882,3882,2655,2835,2358,240,240,240,237,237,237,237,3,48,0,3,36,36,0,2023-08-31 23:58:41,0
3897,3897,2181,2319,1935,192,192,192,192,192,192,192,0,30,0,0,36,36,0,2023-09-01 00:00:41,0
3801,3801,3213,3393,2913,243,243,243,237,237,237,237,6,36,0,6,36,36,0,2023-09-01 00:02:41,0
3888,3888,3963,4179,3717,231,231,231,231,231,231,231,0,30,0,0,36,36,0,2023-09-01 00:04:41,0
3888,3888,3390,3564,3087,240,240,240,234,234,234,234,6,27,0,6,36,36,0,2023-09-01 00:06:41,0
3885,3885,4134,4350,3858,246,246,246,246,246,246,246,0,18,0,0,36,36,0,2023-09-01 00:08:41,0
3867,3867,2679,2874,2412,231,231,231,231,231,231,231,0,48,0,0,36,36,0,2023-09-01 00:10:41,0
3777,3777,3318,3489,2997,246,246,246,246,246,246,246,0,27,0,0,36,36,0,2023-09-01 00:12:41,0
3897,3897,69,45,21,12,12,12,12,12,12,12,0,0,0,0,36,36,0,2023-09-01 00:14:41,0
3879,3879,105,54,21,15,15,15,15,15,15,15,0,3,0,0,36,36,0,2023-09-01 00:16:41,0
3888,3888,213,759,30,582,579,579,129,129,129,126,564,117,132,90,36,36,15,2023-09-01 00:18:41,6
3894,3894,1476,2184,1176,735,738,738,240,240,240,243,621,147,156,96,36,36,30,2023-09-01 00:20:41,0
3807,3807,2877,3090,2598,246,246,246,246,246,246,246,0,30,0,0,36,36,0,2023-09-01 00:22:41,0
3891,3891,2925,3096,2655,222,222,222,219,219,219,219,3,12,0,3,36,36,0,2023-09-01 00:24:41,0
3885,3885,2994,3186,2712,237,234,234,237,237,237,234,0,21,0,0,36,36,0,2023-09-01 00:26:41,0
3879,3879,3069,3243,2766,237,240,240,237,237,237,240,0,21,0,0,36,36,0,2023-09-01 00:28:41,0
3882,3882,2754,2961,2517,222,222,222,222,222,222,222,0,24,0,0,36,36,0,2023-09-01 00:30:41,0
3900,3900,870,876,720,78,78,78,78,78,78,78,0,6,0,0,36,36,0,2023-09-01 00:32:41,0
3813,3813,33,30,12,9,9,9,9,9,9,9,0,3,0,0,36,36,0,2023-09-01 00:34:41,0
3888,3888,138,336,9,246,243,243,60,60,60,57,231,51,66,36,36,36,6,2023-09-01 00:36:41,30
3888,3888,291,1233,24,963,966,966,201,201,201,204,954,189,234,150,36,36,39,2023-09-01 00:38:41,0
3894,3894,2985,3180,2733,225,225,225,222,222,222,222,3,27,0,3,36,36,0,2023-09-01 00:40:41,0
3864,3864,3270,3465,2982,243,240,240,243,243,243,240,0,27,0,0,36,36,0,2023-09-01 00:42:41,0
3825,3825,3147,3366,2901,231,234,234,231,231,231,234,0,6,0,0,36,36,0,2023-09-01 00:44:41,0
3888,3888,1140,1173,987,87,87,87,87,87,87,87,0,12,12,0,36,36,0,2023-09-01 00:46:41,24
3882,3882,72,45,12,15,15,15,15,15,15,15,0,0,0,0,36,36,0,2023-09-01 00:48:41,0
3888,3888,63,117,0,90,87,87,27,27,27,24,78,18,18,12,36,36,6,2023-09-01 00:50:41,0
3864,3864,312,1251,15,990,990,990,201,201,201,201,987,195,243,156,36,36,33,2023-09-01 00:52:41,6
3810,3810,2886,3216,2574,372,375,375,264,264,264,267,135,57,30,18,36,36,9,2023-09-01 00:54:41,0
3885,3885,2772,2955,2517,219,219,219,219,219,219,219,0,18,0,0,36,36,0,2023-09-01 00:56:41,0
3888,3888,3147,3342,2826,258,258,258,255,255,255,255,3,42,0,3,36,36,0,2023-09-01 00:58:41,0
3891,3891,18,9,3,3,3,3,3,3,3,3,0,0,0,0,36,36,0,2023-09-01 01:00:41,0
3882,3882,87,21,9,6,6,6,6,6,6,6,0,0,0,0,36,36,0,2023-09-01 01:02:41,0
3885,3885,168,693,9,546,543,543,120,120,120,117,531,105,126,84,36,36,15,2023-09-01 01:04:41,6
3798,3798,1284,1974,993,735,738,738,213,213,213,216,654,147,162,102,36,36,30,2023-09-01 01:06:41,0
3885,3885,2898,3102,2631,234,234,234,234,234,234,234,0,39,0,0,36,36,0,2023-09-01 01:08:41,0
3903,3903,3399,3582,3120,231,231,231,231,231,231,231,0,39,0,0,36,36,0,2023-09-01 01:10:41,0
3864,3864,108,72,72,0,0,0,0,0,0,0,0,0,0,0,36,36,0,2023-09-01 01:12:41,0
3891,3891,27,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,0,2023-09-01 01:14:41,0
3798,3798,174,585,9,459,456,456,99,99,99,96,450,90,111,72,36,36,12,2023-09-01 01:16:41,6
3885,3885,768,1530,504,789,792,792,201,201,201,204,735,147,177,114,36,36,33,2023-09-01 01:18:41,0
3876,3876,2616,2796,2340,228,228,228,228,228,228,228,0,45,0,0,36,36,0,2023-09-01 01:20:41,0
3888,3888,3006,3162,2769,198,198,198,195,195,195,195,3,36,0,3,36,36,0,2023-09-01 01:22:41,0
3903,3903,1071,1122,984,69,69,69,69,69,69,69,0,3,0,0,36,36,0,2023-09-01 01:24:41,0
3813,3813,63,21,15,3,3,3,3,3,3,3,0,0,0,0,36,36,0,2023-09-01 01:26:41,0
3867,3867,78,189,3,147,141,141,36,36,36,30,138,27,33,21,36,36,6,2023-09-01 01:28:41,0
3882,3882,297,1254,6,996,999,999,207,207,207,210,987,198,240,156,36,36,36,2023-09-01 01:30:41,6
3897,3897,2208,2412,1914,270,273,273,222,222,222,225,60,36,15,9,36,36,3,2023-09-01 01:32:41,0
3894,3894,3231,3429,2985,222,222,222,222,222,222,222,0,24,0,0,36,36,0,2023-09-01 01:34:41,0
3801,3801,1143,1209,987,111,111,111,111,111,111,111,0,6,0,0,36,36,0,2023-09-01 01:36:41,0
3885,3885,30,27,6,9,9,9,9,9,9,9,0,3,0,0,36,36,0,2023-09-01 01:38:41,0
3867,3867,51,18,12,3,3,3,3,3,3,3,0,0,0,0,36,36,0,2023-09-01 01:40:41,0
3891,3891,261,1197,3,960,954,954,195,195,195,189,954,192,234,156,36,36,30,2023-09-01 01:42:41,9
3897,3897,2376,2787,2076,444,450,450,255,255,255,261,237,69,54,36,36,36,15,2023-09-01 01:44:41,0
3873,3873,3024,3201,2775,213,213,213,213,213,213,213,0,42,0,0,36,36,0,2023-09-01 01:46:41,0
3828,3828,54,27,6,9,9,9,9,9,9,9,0,6,0,0,36,36,0,2023-09-01 01:48:41,0
3891,3891,42,42,15,15,15,15,12,12,12,12,3,3,0,3,36,36,0,2023-09-01 01:50:41,0
3867,3867,180,717,6,573,570,570,120,120,120,117,564,114,132,93,36,36,15,2023-09-01 01:52:41,6
3894,3894,1146,1833,897,699,702,702,204,204,204,207,621,135,156,93,36,36,30,2023-09-01 01:54:41,0
3888,3888,2721,2910,2445,234,234,234,231,231,231,231,3,36,0,3,36,36,0,2023-09-01 01:56:41,0
3792,3792,963,1041,837,102,102,102,102,102,102,102,0,9,0,0,36,36,0,2023-09-01 01:58:41,0
3906,3906,54,24,9,6,6,6,6,6,6,6,0,3,0,0,36,36,0,2023-09-01 02:00:41,0
3870,3870,87,243,3,189,186,186,45,45,45,42,177,39,42,30,36,36,6,2023-09-01 02:02:41,3
3888,3888,267,1206,3,966,966,966,195,195,195,195,966,192,237,150,36,36,36,2023-09-01 02:04:41,6
3888,3888,3231,3402,2976,228,231,231,195,195,195,198,42,27,9,6,36,36,3,2023-09-01 02:06:41,0
3822,3822,1740,1848,1593,126,126,126,126,126,126,126,0,15,0,0,36,36,0,2023-09-01 02:08:41,0
3870,3870,39,60,6,39,36,36,18,18,18,15,24,9,3,0,36,36,6,2023-09-01 02:10:41,0
3894,3894,69,24,6,9,12,12,6,6,6,9,6,0,3,0,36,36,0,2023-09-01 02:12:41,0
3900,3900,255,1182,18,930,927,927,195,195,195,192,918,183,225,150,36,36,27,2023-09-01 02:14:41,6
3888,3888,2454,2862,2202,432,435,435,216,216,216,219,270,72,63,39,36,36,18,2023-09-01 02:16:41,0
3780,3780,1599,1704,1458,123,123,123,123,123,123,123,0,9,0,0,36,36,0,2023-09-01 02:18:41,0
3912,3912,36,21,6,6,6,6,6,6,6,6,0,0,0,0,36,36,0,2023-09-01 02:20:41,0
3867,3867,48,24,6,9,9,9,9,9,9,9,0,0,0,0,36,36,0,2023-09-01 02:22:41,0
3885,3885,243,1155,6,921,918,918,192,192,192,189,909,183,219,150,36,36,27,2023-09-01 02:24:41,6
3888,3888,2451,2841,2187,429,432,432,210,210,210,213,276,84,69,36,36,36,18,2023-09-01 02:26:41,0
3888,3888,1110,1152,1002,75,75,75,75,75,75,75,0,6,0,0,36,36,0,2023-09-01 02:28:41,0
3822,3822,48,30,9,9,9,9,9,9,9,9,0,0,0,0,36,36,0,2023-09-01 02:30:41,0
3867,3867,102,255,15,189,183,183,48,48,48,42,171,36,39,30,36,36,6,2023-09-01 02:32:41,0
3897,3897,258,1200,3,960,963,963,195,195,195,198,960,192,234,147,36,36,36,2023-09-01 02:34:41,6
3885,3885,2853,3132,2532,318,321,321,276,276,276,279,54,36,15,9,36,36,3,2023-09-01 02:36:41,0
3882,3879,474,483,429,27,27,27,27,27,27,27,0,3,0,0,36,36,0,2023-09-01 02:38:41,0
3783,3786,54,12,3,3,3,3,3,3,3,3,0,0,0,0,36,36,0,2023-09-01 02:40:41,0
3897,3897,150,480,12,369,366,366,81,81,81,78,357,75,90,57,36,36,9,2023-09-01 02:42:41,6
3888,3888,732,1590,501,858,861,861,198,198,198,201,828,168,198,129,36,36,36,2023-09-01 02:44:41,0
3897,3897,2481,2640,2238,201,201,201,201,201,201,201,0,27,0,0,36,36,0,2023-09-01 02:46:41,0
3876,3876,30,9,3,3,3,3,3,3,3,3,0,0,0,0,36,36,0,2023-09-01 02:48:41,0
3813,3813,24,18,6,6,6,6,6,6,6,6,0,3,0,0,36,36,0,2023-09-01 02:50:41,0
3882,3882,201,807,6,642,639,639,135,135,135,132,633,129,150,105,36,36,15,2023-09-01 02:52:41,6
3897,3897,1689,2316,1455,636,639,639,195,195,195,198,552,117,138,81,36,36,30,2023-09-01 02:54:41,0
3888,3888,879,909,801,54,54,54,54,54,54,54,0,6,0,0,36,36,0,2023-09-01 02:56:41,0
3885,3885,42,9,3,3,3,3,3,3,3,3,0,0,0,0,36,36,0,2023-09-01 02:58:41,0
3783,3783,78,321,6,255,252,252,51,51,51,48,252,51,60,39,36,36,6,2023-09-01 03:00:41,6
3888,3888,294,1179,6,936,939,939,192,192,192,195,933,189,228,147,36,36,39,2023-09-01 03:02:41,0
3888,3888,2589,2721,2427,147,147,147,147,147,147,147,0,9,0,0,36,36,0,2023-09-01 03:04:41,0
3888,3888,45,33,9,12,12,12,12,12,12,12,0,0,0,0,36,36,0,2023-09-01 03:06:41,0
3888,3888,21,9,3,3,3,3,3,3,3,3,0,0,0,0,36,36,0,2023-09-01 03:08:41,0
3804,3804,213,960,15,756,750,750,162,162,162,156,741,150,180,126,36,36,18,2023-09-01 03:10:41,6
3867,3867,1944,2466,1689,552,558,558,198,198,198,204,444,102,108,60,36,36,27,2023-09-01 03:12:41,0
3897,3897,639,720,552,84,84,84,84,84,84,84,0,15,0,0,36,36,0,2023-09-01 03:14:41,0
3882,3882,51,33,9,12,12,12,12,12,12,12,0,3,0,0,36,36,0,2023-09-01 03:16:41,0
3885,3885,75,309,0,246,243,243,54,54,54,51,240,48,60,36,36,36,6,2023-09-01 03:18:41,6
3891,3891,297,1236,48,951,954,954,195,195,195,198,945,189,228,150,36,36,39,2023-09-01 03:20:41,0
3783,3783,2238,2367,2040,162,162,162,162,162,162,162,0,30,0,0,36,36,0,2023-09-01 03:22:41,0
3897,3897,12,3,3,0,0,0,0,0,0,0,0,0,0,0,36,36,0,2023-09-01 03:24:41,0
3888,3888,24,6,0,3,3,3,3,3,3,3,0,0,0,0,36,36,0,2023-09-01 03:26:41,0
3885,3885,216,990,6,792,789,789,162,162,162,159,786,156,189,129,36,36,21,2023-09-01 03:28:41,6
3858,3858,1923,2412,1683,513,516,516,195,195,195,198,399,90,99,57,36,36,24,2023-09-01 03:30:41,0
3822,3822,48,6,0,3,3,3,3,3,3,3,0,3,0,0,36,36,0,2023-09-01 03:32:41,0
3888,3888,57,24,9,6,6,6,6,6,6,6,0,0,0,0,36,36,0,2023-09-01 03:34:41,0
3888,3888,156,696,3,561,558,558,114,114,114,111,558,111,132,90,36,36,15,2023-09-01 03:36:41,6
3888,3888,1200,1884,924,714,717,717,213,213,213,216,627,135,156,96,36,36,30,2023-09-01 03:38:41,0
