<:GIN:>,Response=<:MAP:>,infra.grpc.handler,GetLatestMailChannelOrderByHashCode: get empty mail channel order,RecordThirdPartyCost,send by <:*:> OrderID=<:SEQ:> <:traceID:> <:transactionID:> <:spanID:>,begin Consume call,deal<:SmsCallback:>,receive <:*:>,dealSmsCallback complete <:callback:>,no need process continue:<:SEQ:> I STATUS c:true in:<:NUM:> target:<:NUM:> type:int64 CH VERSION <:*:> <:*:> <:*:> type:string,PushSmsOrderResult: <:result:>,getAppSmsLimit <:*:> not exist,not find dictionary type=<:NUM:>,scCallBack receive <:request:>,UpdateWeChatLog UpdateWeChatStatus msgID=<:NUM:> code=<:NUM:> <:detail:>,WeChatMsg Send WechatMsg <:*:> <:*:> <:overLimit:>,send by <:*:> OrderID=<:SEQ:>,<:dealMailCallback:>,dealMailCallback complete <:callback:>,sanZi <:*:> return <:*:> <:traceID:> <:transactionID:> <:spanID:>,PushMailSendResult: <:result:>,scCallBack DealCallBack <:event:>,begin <:*:>,use preferred orderID=<:SEQ:> <:channel:>,SendMailTask success,SendMail cast=<:NUM:> Ms,saveChannelOrder orderID=<:SEQ:>,SendWeChatMsg <:*:>,uCloud <:*:> callback return <:*:> <:traceID:> <:transactionID:> <:spanID:>,syncSmsChannel: m.doSyncSmsChannel: sms <:channel:>,<:NUM:> <:*:>,load <:*:> config ok,dealSmsCallback dealSmsCallbackRetry <:order:>,juhe sendSms <:rs:>,resetApproveCallbackTask taskID=<:SEQ:>,ykmsymsg <:*:> start kms,syncSmsStatusCode: m.doSyncSmsStatusCode: sms <:status:>,version,ykms addr: ykms://ymsg@<:IP:>:<:NUM:>,waiting task controller finished,task controller finished,dao close finished,<:ChineseInfo:>,msg,timestamp,unknown
928,919,29,0,33,14,6,14,15,14,5,14,4,45,2,17,17,15,1,1,1,1,1,1,1,1,1,1,4,4,5,8,6,0,1,2,2,1,1,1,1,2,1,1,20,2023-09-06 19:34:46,0
1034,1015,332,0,53,31,58,30,32,30,48,29,13,30,20,11,11,42,10,10,2,10,10,10,10,10,10,10,3,6,5,0,0,1,1,2,0,1,0,0,0,0,0,0,11,2023-09-06 19:36:46,1
934,921,48,0,52,22,50,26,24,26,42,26,3,41,17,22,21,30,9,9,0,9,9,8,8,8,8,8,5,5,5,8,6,0,0,2,2,0,1,1,1,2,1,0,25,2023-09-06 19:38:46,4
1021,1005,312,0,46,17,8,22,22,22,7,20,8,45,3,26,25,20,2,2,0,2,2,1,1,1,1,1,15,9,5,9,6,2,0,2,2,1,1,1,1,2,1,0,29,2023-09-06 19:40:46,2
948,940,47,0,53,16,48,16,16,16,40,16,9,71,28,29,27,24,20,20,0,20,20,8,8,8,8,8,6,3,5,7,6,0,0,2,2,1,1,1,1,2,1,0,32,2023-09-06 19:42:46,2
954,932,55,5,54,34,18,37,37,37,15,36,12,30,6,16,15,38,3,3,3,3,3,3,3,3,3,3,3,11,5,0,0,1,0,2,0,1,0,0,0,0,0,0,16,2023-09-06 19:44:46,1
1018,990,1281,931,74,52,12,47,48,47,10,47,19,45,6,20,19,54,4,4,0,4,4,2,2,2,2,2,6,14,5,9,6,0,1,2,2,1,1,1,1,2,1,1,24,2023-09-06 19:46:46,3
915,895,1027,973,56,35,18,36,36,36,15,35,13,56,6,16,16,40,3,3,2,3,3,3,3,3,3,3,0,10,5,8,6,1,1,2,2,0,1,1,1,2,1,0,19,2023-09-06 19:48:46,2
1031,1012,1215,889,41,22,0,22,26,22,0,22,8,15,0,19,19,22,2,2,0,2,0,0,0,0,0,0,7,8,5,0,0,0,0,2,0,1,0,0,0,0,0,3,19,2023-09-06 19:50:46,2
929,910,950,893,66,34,6,35,34,35,5,35,15,71,2,31,31,35,5,5,1,5,1,1,1,1,1,1,10,8,5,9,6,0,0,2,2,1,1,1,1,2,1,0,34,2023-09-06 19:52:46,4
952,941,908,867,40,18,30,18,18,18,25,18,6,45,12,17,17,23,11,11,0,11,7,5,5,5,5,5,2,3,5,8,6,0,0,2,2,1,1,1,1,2,1,0,20,2023-09-06 19:54:46,4
1016,1003,1205,876,56,23,54,24,24,24,45,24,6,30,19,24,24,32,14,14,0,14,10,9,9,9,9,9,9,4,5,0,0,0,0,2,0,1,0,0,0,0,0,0,24,2023-09-06 19:56:46,4
930,917,961,907,58,22,54,22,22,22,45,22,1,56,20,27,26,31,11,11,0,11,11,9,9,9,9,9,5,9,5,8,6,0,0,2,2,0,1,1,1,2,1,0,30,2023-09-06 19:58:46,7
1059,1032,1152,858,64,15,42,27,29,27,35,20,5,30,16,41,41,23,13,13,10,13,9,7,7,7,7,7,21,6,5,7,6,1,2,2,2,1,1,1,1,2,1,2,44,2023-09-06 20:00:46,5
918,912,1001,937,29,11,6,10,10,10,5,10,3,56,2,17,17,12,4,4,1,4,1,1,1,1,1,1,3,2,5,0,0,0,0,2,0,1,0,0,0,0,0,0,17,2023-09-06 20:02:46,3
953,930,960,904,61,23,36,24,24,24,30,23,9,45,12,31,22,30,9,9,1,9,6,6,6,6,6,6,7,12,5,8,6,1,0,1,2,1,1,1,1,2,1,0,34,2023-09-06 20:04:46,12
1021,994,1183,862,45,32,0,31,31,31,0,31,8,45,0,14,14,32,8,8,1,8,0,0,0,0,0,0,7,13,5,7,6,0,0,2,2,1,1,1,1,2,1,0,17,2023-09-06 20:06:46,8
922,902,1029,988,46,25,42,29,28,29,35,25,10,41,14,11,11,34,9,9,1,9,7,7,7,7,7,7,2,7,5,0,0,2,1,2,0,0,0,0,0,0,0,0,11,2023-09-06 20:08:46,5
1028,1010,1321,996,53,27,12,27,29,26,10,24,13,30,4,22,22,31,2,2,0,2,2,2,2,2,2,2,7,7,5,5,6,1,1,2,2,1,1,1,1,2,1,2,25,2023-09-06 20:10:46,5
940,923,332,287,53,24,30,27,30,28,25,28,2,71,10,24,24,29,5,5,1,5,5,5,5,5,5,5,9,8,5,7,6,0,1,2,2,1,1,1,1,2,1,3,27,2023-09-06 20:12:46,0
959,915,78,0,88,43,60,50,50,50,50,48,9,45,2,33,33,55,19,19,4,19,1,10,10,10,1,1,8,19,5,8,6,2,1,2,2,1,1,1,1,2,1,0,36,2023-09-06 20:14:46,28
1036,1011,324,0,48,24,42,33,32,33,35,31,10,30,9,14,13,34,11,11,1,11,5,7,7,7,4,4,4,12,5,0,0,2,0,2,0,1,0,0,0,0,0,0,14,2023-09-06 20:16:46,14
931,908,39,0,42,33,12,35,35,35,10,35,18,41,4,7,7,35,2,2,3,2,2,2,2,2,2,2,3,8,5,2,6,0,0,2,2,0,1,1,1,2,1,0,10,2023-09-06 20:18:46,3
1011,993,320,0,47,30,18,29,29,29,15,28,10,45,6,13,13,34,3,3,0,3,3,3,3,3,3,3,7,14,5,9,6,1,1,2,2,1,1,1,1,2,1,0,16,2023-09-06 20:20:46,5
951,926,60,0,65,44,30,43,46,43,25,43,11,71,10,16,16,49,5,5,1,5,5,5,5,5,5,5,5,14,5,8,6,0,0,2,2,1,1,1,1,2,1,3,19,2023-09-06 20:22:46,0
919,908,42,0,45,24,24,28,28,28,20,28,15,30,8,17,17,28,4,4,0,4,4,4,4,4,4,4,3,6,5,0,0,0,0,2,0,1,0,0,0,0,0,0,17,2023-09-06 20:24:46,0
1034,1014,1243,917,48,28,12,30,30,30,10,30,8,45,4,18,17,30,2,2,4,2,2,2,2,2,2,2,4,10,5,7,6,0,0,2,2,1,1,1,1,2,1,0,21,2023-09-06 20:26:46,1
917,904,969,929,43,28,0,25,25,25,0,25,7,56,0,15,15,28,0,0,0,0,0,0,0,0,0,0,3,8,5,9,6,0,0,2,2,0,1,1,1,2,1,0,18,2023-09-06 20:28:46,0
1010,998,1205,883,46,25,6,25,25,25,5,26,13,15,2,20,20,26,1,1,1,1,1,1,1,1,1,1,7,8,5,0,0,0,0,2,0,1,0,0,0,0,0,0,20,2023-09-06 20:30:46,1
930,913,918,882,42,22,24,24,23,24,20,21,6,71,8,14,14,28,4,4,1,4,4,4,4,4,4,4,7,8,5,8,6,1,2,2,2,1,1,1,1,2,1,0,17,2023-09-06 20:32:46,4
1130,1113,977,876,106,25,382,27,27,27,318,26,6,45,189,16,16,90,125,125,0,125,125,64,64,64,64,64,4,13,5,6,6,1,0,2,2,1,1,1,1,2,1,0,19,2023-09-06 20:34:46,45
1029,1009,1184,865,64,27,8,37,35,37,7,34,13,45,3,29,29,35,2,2,4,2,2,1,1,1,1,1,21,14,5,8,6,3,0,2,2,1,1,1,1,2,1,1,32,2023-09-06 20:36:46,20
943,921,962,906,68,39,6,41,41,41,5,40,14,41,2,26,26,42,1,1,0,1,1,1,1,1,1,1,11,18,5,0,0,1,0,2,0,0,0,0,0,0,0,0,26,2023-09-06 20:38:46,2
1019,1003,1204,878,57,29,12,26,25,26,10,26,9,30,4,26,26,31,2,2,0,2,2,2,2,2,2,2,14,10,5,9,6,0,0,2,2,1,1,1,1,2,1,0,29,2023-09-06 20:40:46,3
935,916,985,937,52,28,30,33,34,33,25,32,9,71,11,18,18,34,6,6,3,6,6,5,5,5,5,5,3,8,5,8,6,1,1,2,2,1,1,1,1,2,1,1,21,2023-09-06 20:42:46,0
946,934,927,892,47,26,6,25,24,25,5,24,10,45,2,18,18,29,1,1,2,1,1,1,1,1,1,1,9,5,5,8,6,1,0,2,2,1,1,1,1,2,1,1,21,2023-09-06 20:44:46,12
1071,1000,1355,858,228,193,24,178,178,178,20,177,172,30,8,29,29,199,4,4,9,4,4,4,4,4,4,4,11,7,5,0,0,1,0,2,0,1,0,0,0,0,0,0,29,2023-09-06 20:46:46,4
919,894,1011,969,51,26,12,38,37,38,10,37,11,56,4,21,21,30,2,2,3,2,2,2,2,2,2,2,7,10,5,9,6,1,0,2,2,0,1,1,1,2,1,0,24,2023-09-06 20:48:46,7
1052,1027,1354,1010,69,39,12,36,36,36,10,36,15,30,4,28,28,41,2,2,2,2,2,2,2,2,2,2,17,12,5,4,6,0,0,2,2,1,1,1,1,2,1,0,31,2023-09-06 20:50:46,3
950,918,449,371,86,48,36,52,55,52,30,50,26,71,12,30,30,56,6,6,3,6,6,6,6,6,6,6,8,7,5,9,6,1,3,2,2,1,1,1,1,2,1,3,33,2023-09-06 20:52:46,3
941,921,44,0,46,34,6,33,34,33,5,33,6,30,2,11,11,35,1,1,2,1,1,1,1,1,1,1,3,14,5,0,0,0,0,2,0,1,0,0,0,0,0,0,11,2023-09-06 20:54:46,0
1001,989,326,0,59,30,6,32,31,32,5,31,13,45,2,27,24,32,1,1,2,1,1,1,1,1,1,1,14,8,5,9,6,1,0,2,2,1,1,1,1,2,1,0,30,2023-09-06 20:56:46,3
927,911,47,0,50,30,6,32,32,32,5,31,8,41,2,18,18,32,1,1,1,1,1,1,1,1,1,1,3,9,5,8,6,1,0,2,2,0,1,1,1,2,1,0,21,2023-09-06 20:58:46,0
1136,1100,346,0,162,42,18,56,56,56,15,40,13,45,9,117,117,45,6,6,17,6,6,3,3,3,3,3,101,12,5,9,6,0,1,2,2,1,1,1,1,2,1,0,120,2023-09-06 21:00:46,2
943,927,48,0,53,29,18,30,30,30,15,30,15,56,6,19,19,34,3,3,2,3,3,3,3,3,3,3,6,8,5,0,0,0,0,2,0,1,0,0,0,0,0,1,19,2023-09-06 21:02:46,4
933,917,40,1,49,25,6,25,25,25,5,24,4,45,2,20,20,29,1,1,1,1,1,1,1,1,1,1,9,10,5,7,6,1,1,2,2,1,1,1,1,2,1,1,24,2023-09-06 21:04:46,13
1026,1004,1232,913,63,32,0,36,34,36,0,34,15,45,0,23,23,40,4,4,3,4,0,0,0,0,0,0,18,9,5,9,6,2,0,2,2,1,1,1,1,2,1,0,26,2023-09-06 21:06:46,24
932,914,958,917,47,28,18,36,34,36,15,35,9,56,6,15,15,32,3,3,2,3,3,3,3,3,3,3,5,11,5,8,6,1,0,2,2,0,1,1,1,2,1,0,18,2023-09-06 21:08:46,4
1026,1004,1232,902,50,36,6,37,38,37,5,36,9,15,2,12,12,38,1,1,1,1,1,1,1,1,1,1,1,19,5,0,0,1,0,2,0,1,0,0,0,0,0,0,12,2023-09-06 21:10:46,0
928,907,920,869,61,43,6,40,40,40,5,39,12,71,2,16,16,45,1,1,4,1,1,1,1,1,1,1,9,16,5,8,6,1,0,1,2,1,1,1,1,2,1,1,19,2023-09-06 21:12:46,1
934,919,937,888,54,27,18,25,25,25,15,24,9,45,6,23,23,31,3,3,3,3,3,3,3,3,3,3,3,6,5,7,6,1,1,2,2,1,1,1,1,2,1,0,26,2023-09-06 21:14:46,5
1018,991,1170,845,53,37,6,39,42,39,5,38,10,45,2,12,12,41,1,1,2,1,1,1,1,1,1,1,7,15,5,7,6,1,0,2,2,1,1,1,1,2,1,4,16,2023-09-06 21:16:46,5
938,923,924,893,51,25,6,29,29,29,5,29,9,41,2,24,24,27,1,1,0,1,1,1,1,1,1,1,19,10,5,0,0,0,0,2,0,0,0,0,0,0,0,0,24,2023-09-06 21:18:46,1
1017,997,1170,859,34,26,0,27,28,27,0,27,6,30,0,8,8,26,0,0,3,0,0,0,0,0,0,0,5,12,5,9,6,0,1,2,2,1,1,1,1,2,1,1,11,2023-09-06 21:20:46,3
923,908,985,944,51,32,6,29,29,29,5,29,9,71,2,18,18,33,1,1,0,1,1,1,1,1,1,1,10,10,5,8,6,0,0,2,2,1,1,1,1,2,1,0,21,2023-09-06 21:22:46,0
914,900,946,895,54,35,0,27,27,27,0,27,12,45,0,19,19,35,0,0,1,0,0,0,0,0,0,0,3,9,5,8,6,0,1,2,2,1,1,1,1,2,1,0,22,2023-09-06 21:24:46,0
1041,1019,1249,907,70,45,12,46,47,46,10,44,15,30,4,21,21,49,2,2,1,2,2,2,2,2,2,2,7,12,5,0,0,2,1,2,0,1,0,0,0,0,0,1,21,2023-09-06 21:26:46,3
914,899,1029,984,46,37,0,34,35,34,0,34,9,56,0,9,9,37,0,0,0,0,0,0,0,0,0,0,1,13,5,9,6,0,0,2,2,0,1,1,1,2,1,0,12,2023-09-06 21:28:46,0
1042,1022,1365,1026,61,38,18,41,40,41,15,41,18,30,6,19,19,42,3,3,2,3,3,3,3,3,3,3,7,10,5,3,6,1,0,2,2,1,1,1,1,2,1,0,22,2023-09-06 21:30:46,3
918,895,385,330,61,43,6,38,38,38,5,36,12,71,3,15,15,46,2,2,1,2,2,1,1,1,1,1,4,19,5,7,6,2,0,2,2,1,1,1,1,2,1,0,18,2023-09-06 21:32:46,6
949,921,67,0,74,57,6,54,53,54,5,54,5,30,2,16,16,58,1,1,2,1,1,1,1,1,1,1,7,24,5,0,0,0,0,2,0,1,0,0,0,0,0,0,16,2023-09-06 21:34:46,0
1021,1000,351,0,79,56,12,55,55,55,10,54,14,45,4,18,18,61,2,2,4,2,2,2,2,2,2,2,7,14,5,8,6,1,1,2,2,1,1,1,1,2,1,1,21,2023-09-06 21:36:46,7
936,910,48,0,54,34,6,38,40,38,5,37,7,56,2,17,17,37,1,1,2,1,1,1,1,1,1,1,5,16,5,5,6,1,0,2,2,0,1,1,1,2,1,3,20,2023-09-06 21:38:46,4
1035,1009,334,0,64,38,12,41,44,41,10,41,5,15,4,24,24,40,2,2,0,2,2,2,2,2,2,2,13,16,5,0,0,0,1,2,0,1,0,0,0,0,0,3,24,2023-09-06 21:40:46,1
933,911,58,0,61,38,18,35,35,35,15,35,7,71,6,20,20,41,3,3,2,3,3,3,3,3,3,3,3,20,5,4,6,0,0,2,2,1,1,1,1,2,1,0,23,2023-09-06 21:42:46,1
957,928,66,6,62,50,6,53,53,53,5,52,9,45,3,10,10,52,2,2,1,2,2,1,1,1,1,1,2,20,5,8,6,1,0,2,2,1,1,1,1,2,1,0,13,2023-09-06 21:44:46,1
1011,991,1245,920,52,34,24,32,35,32,20,31,6,45,8,13,13,39,4,4,4,4,4,4,4,4,4,4,6,9,5,9,6,1,1,2,2,1,1,1,1,2,1,4,16,2023-09-06 21:46:46,8
922,897,977,926,55,35,6,39,39,39,5,39,7,41,2,19,19,36,1,1,4,1,1,1,1,1,1,1,4,17,5,0,0,0,1,2,0,0,0,0,0,0,0,0,19,2023-09-06 21:48:46,2
1057,1025,1216,882,68,30,0,43,42,43,0,42,12,30,0,33,33,35,0,0,7,0,0,0,0,0,0,0,20,15,5,8,6,1,2,2,2,1,1,1,1,2,1,2,36,2023-09-06 21:50:46,19
924,910,940,898,47,22,6,27,27,27,5,27,5,71,2,24,24,23,1,1,3,1,1,1,1,1,1,1,6,7,5,8,6,0,0,2,2,1,1,1,1,2,1,0,27,2023-09-06 21:52:46,1
945,929,886,843,47,30,5,28,29,28,4,28,10,45,2,16,16,31,1,1,2,1,1,1,1,1,1,1,5,10,5,8,6,0,0,2,2,1,1,1,1,2,1,0,19,2023-09-06 21:54:46,0
1019,991,1206,868,66,45,19,47,48,47,16,45,13,30,6,16,16,50,3,3,3,3,3,3,3,3,3,3,7,14,5,0,0,2,2,2,0,1,0,0,0,0,0,2,16,2023-09-06 21:56:46,5
923,900,941,887,58,35,24,34,34,34,20,34,6,56,8,19,19,39,4,4,2,4,4,4,4,4,4,4,5,14,5,8,6,0,0,2,2,0,1,1,1,2,1,0,22,2023-09-06 21:58:46,3
1066,1011,1244,887,76,53,8,77,75,77,6,50,16,30,3,20,20,56,1,1,29,1,1,2,2,2,2,2,7,21,5,8,6,1,0,2,2,1,1,1,1,2,1,0,23,2023-09-06 22:00:46,4
928,910,976,922,58,34,18,35,35,35,15,34,7,71,8,20,20,38,5,5,6,5,5,3,3,3,3,3,3,10,5,8,6,1,0,2,2,1,1,1,1,2,1,0,23,2023-09-06 22:02:46,6
949,928,951,892,58,37,22,37,37,37,19,37,7,30,8,18,18,40,5,5,1,5,5,3,3,3,3,3,6,15,5,0,0,0,0,2,0,1,0,0,0,0,0,0,18,2023-09-06 22:04:46,2
1011,986,1209,882,52,34,6,39,40,39,5,37,3,45,2,14,14,38,5,5,1,5,1,1,1,1,1,1,7,14,5,8,6,2,1,2,2,1,1,1,1,2,1,1,17,2023-09-06 22:06:46,6
931,907,1013,965,55,37,6,36,36,36,5,36,4,41,2,17,17,38,1,1,2,1,1,1,1,1,1,1,7,16,5,9,6,0,0,2,2,0,1,1,1,2,1,0,20,2023-09-06 22:08:46,0
1034,1018,1348,1019,55,36,12,39,39,39,10,38,9,45,6,16,16,39,4,4,1,4,4,2,2,2,2,2,8,13,5,8,6,1,0,2,2,1,1,1,1,2,1,0,19,2023-09-06 22:10:46,2
939,908,444,376,74,51,6,53,53,53,5,51,11,56,2,20,20,54,1,1,2,1,1,1,1,1,1,1,4,24,5,0,0,2,0,2,0,1,0,0,0,0,0,0,20,2023-09-06 22:12:46,1
938,918,48,0,52,35,6,34,34,34,5,34,7,45,2,16,16,36,1,1,2,1,1,1,1,1,1,1,4,14,5,9,6,0,0,2,2,1,1,1,1,2,1,0,19,2023-09-06 22:14:46,0
1018,996,348,0,74,50,12,52,52,52,10,50,7,45,4,20,16,54,2,2,3,2,2,2,2,2,2,2,6,15,5,8,6,2,0,2,2,1,1,1,1,2,1,0,23,2023-09-06 22:16:46,8
947,923,72,0,72,53,48,53,53,53,40,53,4,56,16,11,11,61,8,8,2,8,8,8,8,8,8,8,7,19,5,8,6,0,0,1,2,0,1,1,1,2,1,0,14,2023-09-06 22:18:46,0
1034,1018,322,0,53,32,18,32,32,32,15,32,6,15,6,17,17,36,3,3,2,3,3,3,3,3,3,3,13,11,5,0,0,0,0,2,0,1,0,0,0,0,0,0,17,2023-09-06 22:20:46,2
925,905,42,0,46,34,6,36,35,36,5,36,6,71,2,11,11,35,1,1,2,1,1,1,1,1,1,1,4,12,5,9,6,0,0,2,2,1,1,1,1,2,1,0,14,2023-09-06 22:22:46,6
926,913,46,3,50,25,0,29,29,29,0,29,4,45,0,25,25,25,0,0,4,0,0,0,0,0,0,0,7,8,5,7,6,0,0,2,2,1,1,1,1,2,1,0,28,2023-09-06 22:24:46,1
1013,999,1291,958,57,37,12,37,36,37,10,35,7,45,4,16,14,41,2,2,1,2,2,2,2,2,2,2,4,11,5,8,6,2,0,2,2,1,1,1,1,2,1,0,19,2023-09-06 22:26:46,7
931,911,991,937,60,43,6,40,40,40,5,41,4,41,2,16,16,44,1,1,2,1,1,1,1,1,1,1,7,15,5,0,0,0,0,2,0,0,0,0,0,0,0,0,16,2023-09-06 22:28:46,1
1036,1015,1209,876,59,36,18,39,39,39,15,37,3,30,6,17,17,42,3,3,2,3,3,3,3,3,3,3,7,15,5,5,6,3,0,2,2,1,1,1,1,2,1,0,20,2023-09-06 22:30:46,1
904,883,946,890,57,42,0,39,40,39,0,39,6,71,0,15,15,42,0,0,0,0,0,0,0,0,0,0,4,18,5,9,6,0,0,2,2,1,1,1,1,2,1,0,18,2023-09-06 22:32:46,1
948,924,916,863,63,40,0,47,46,47,0,45,8,30,0,21,21,42,0,0,1,0,0,0,0,0,0,0,8,16,5,0,0,2,0,2,0,1,0,0,0,0,0,0,21,2023-09-06 22:34:46,0
1017,1000,1218,891,54,34,16,31,31,31,13,29,6,45,5,15,15,39,2,2,1,2,2,3,3,3,3,3,7,15,5,8,6,2,0,2,2,1,1,1,1,2,1,1,18,2023-09-06 22:36:46,7
930,907,953,890,63,47,14,48,49,48,12,48,6,56,5,13,13,50,3,3,3,3,3,2,2,2,2,2,2,19,5,9,6,1,0,2,2,0,1,1,1,2,1,0,16,2023-09-06 22:38:46,1
1031,1012,1220,883,66,37,18,40,40,40,15,39,13,30,6,25,25,41,3,3,0,3,3,3,3,3,3,3,11,10,5,7,6,1,1,2,2,1,1,1,1,2,1,2,28,2023-09-06 22:40:46,5
921,904,996,946,54,34,12,36,36,36,10,34,4,56,4,16,16,38,2,2,2,2,2,2,2,2,2,2,2,10,5,0,0,2,0,2,0,1,0,0,0,0,0,0,16,2023-09-06 22:42:46,1
936,918,959,905,58,36,18,38,38,38,15,37,4,45,6,18,18,40,3,3,1,3,3,3,3,3,3,3,3,15,5,8,6,1,0,2,2,1,1,1,1,2,1,0,21,2023-09-06 22:44:46,0
1018,999,1196,863,59,40,6,42,41,42,5,40,7,45,2,16,16,43,1,1,1,1,1,1,1,1,1,1,6,14,5,8,6,2,0,2,2,1,1,1,1,2,1,0,19,2023-09-06 22:46:46,0
932,912,1079,1017,67,44,18,43,44,43,15,43,4,56,6,20,18,47,3,3,1,3,3,3,3,3,3,3,5,18,5,8,6,0,0,2,2,0,1,1,1,2,1,0,23,2023-09-06 22:48:46,3
1035,1015,1362,1021,62,35,6,31,30,31,5,32,4,15,2,26,26,36,1,1,1,1,1,1,1,1,1,1,14,17,5,0,0,0,1,2,0,1,0,0,0,0,0,0,26,2023-09-06 22:50:46,1
